trade_date,open,high,low,close,pre_close,pct_chg,vol,amount,pe_ttm,pb,turnover_rate,total_mv,circ_mv
20250703,19.8,20.05,19.71,19.92,19.89,0.1508,98638.01,195968.315,,9.4296,1.2607,1727100.7584,1558551.0648
20250704,19.89,19.9,19.5,19.67,19.92,-1.255,116484.02,229364.331,,9.3113,1.4888,1705425.2971,1538990.936
20250707,19.61,19.67,19.33,19.37,19.67,-1.5252,95763.03,185913.384,,9.1692,1.224,1679414.7435,1515518.7814
20250708,19.37,19.9,19.35,19.86,19.37,2.5297,137818.09,271772.394,,9.4012,1.7615,1721898.6477,1553856.6339
20250709,19.97,20.22,19.73,19.77,19.86,-0.4532,147411.94,294630.772,,9.3586,1.8841,1714095.4816,1546814.9875
20250710,19.65,19.83,19.6,19.7,19.77,-0.3541,96992.14,191107.625,,9.3255,1.2397,1708026.3524,1541338.1514
20250711,19.7,20.29,19.65,20.18,19.7,2.4365,213771.47,428744.77,,9.5527,2.7322,1749643.2382,1578893.5988
20250714,20.28,20.55,20.15,20.39,20.18,1.0406,242528.06,493939.547,,9.6521,3.0998,1767850.6257,1595324.107
20250715,20.45,20.69,20.3,20.58,20.39,0.9318,257934.48,528972.445,,9.742,3.2967,1784323.9763,1610189.8049
20250716,20.59,20.8,20.37,20.56,20.58,-0.0972,236230.1,486951.344,,9.7326,3.0193,1782589.9394,1608624.9946
20250717,20.5,21.13,20.4,21.03,20.56,2.286,295007.94,615325.435,,9.955,3.7705,1823339.8067,1645398.0368
20250718,21.12,21.2,20.88,21.14,21.03,0.5231,237594.13,500234.771,,10.0071,3.0367,1832877.0096,1654004.4934
20250721,21.5,21.79,21.16,21.37,21.14,1.088,347391.8,744592.565,,10.116,4.4401,1852818.4341,1671999.812
20250722,21.22,21.36,21,21.14,21.37,-1.0763,279231.78,590772.548,,10.0071,3.5689,1832877.0096,1654004.4934
20250723,21.12,21.17,20.84,20.91,21.14,-1.088,189799.72,398752.458,,9.8982,2.4258,1812935.5852,1636009.1749
20250724,21.1,21.67,21.1,21.44,20.91,2.5347,242985,519379.91,,10.1491,3.1056,1858887.5632,1677476.648
20250725,21.55,21.93,21.4,21.72,21.44,1.306,287552.71,623299,,10.2817,3.6752,1883164.0799,1699383.9923
20250728,21.97,22.05,21.43,21.52,21.72,-0.9208,268569.18,580690.693,,10.187,3.4326,1865823.7109,1683735.8893
